Pieza	Peso	Largo	Calibre	Calidad
1	3.45	0.635	2.7-4.0	Premium
2	3.78	0.635	2.7-4.0	Premium
3	3.785	0.635	2.7-4.0	Premium
4	3.905	0.6096	2.7-4.0	Premium
5	3.69	0.635	2.7-4.0	Premium
6	3.615	0.6096	2.7-4.0	Premium
7	3.715	0.635	2.7-4.0	Premium
8	3.075	0.6096	2.7-4.0	Premium
9	3.48	0.5588	2.7-4.0	Premium
10	3.83	0.635	2.7-4.0	Premium
11	3.67	0.5842	2.7-4.0	Premium
12	3.935	0.6096	2.7-4.0	Premium
13	3.3	0.5588	2.7-4.0	Premium
14	3.74	0.635	2.7-4.0	Premium
15	3.815	0.6604	2.7-4.0	Premium
16	3.74	0.635	2.7-4.0	Premium
17	3.43	0.6096	2.7-4.0	Premium
18	3.495	0.635	2.7-4.0	Premium
19	3.995	0.6604	2.7-4.0	Premium
20	3.73	0.635	2.7-4.0	Premium
21	3.58	0.6096	2.7-4.0	Premium
22	2.92	0.6096	2.7-4.0	Premium
23	3.75	0.635	2.7-4.0	Premium
24	3.12	0.6096	2.7-4.0	Premium
25	3.455	0.635	2.7-4.0	Premium
26	3.155	0.6096	2.7-4.0	Premium
27	3.445	0.635	2.7-4.0	Premium
28	4	0.635	2.7-4.0	Premium
29	3.785	0.6096	2.7-4.0	Premium
30	3.98	0.6604	2.7-4.0	Premium
31	3.825	0.6096	2.7-4.0	Premium
32	3.445	0.6604	2.7-4.0	Premium
33	3.79	0.635	2.7-4.0	Premium
34	3.99	0.635	2.7-4.0	Premium
35	3.11	0.6096	2.7-4.0	Premium
36	2.7	0.5842	2.7-4.0	Premium
37	3.955	0.6858	2.7-4.0	Premium
38	2.81	0.6096	2.7-4.0	Premium
39	3.255	0.6096	2.7-4.0	Premium
40	3.18	0.6096	2.7-4.0	Premium
41	3.52	0.7366	2.7-4.0	Premium
42	3.36	0.6604	2.7-4.0	Premium
43	3.055	0.5842	2.7-4.0	Premium
44	3.785	0.6096	2.7-4.0	Premium
45	3.565	0.5334	2.7-4.0	Premium
46	3.995	0.635	2.7-4.0	Premium
47	3.635	0.6604	2.7-4.0	Premium
48	3.09	0.5842	2.7-4.0	Premium
49	3.915	0.6604	2.7-4.0	Premium
50	3.205	0.6096	2.7-4.0	Premium
51	3.755	0.6096	2.7-4.0	Premium
52	2.81	0.6096	2.7-4.0	Premium
53	3.795	0.635	2.7-4.0	Premium
54	3.965	0.6604	2.7-4.0	Premium
55	3.71	0.6096	2.7-4.0	Premium
56	3.275	0.5842	2.7-4.0	Premium
